Array Size,Datatype,Approach,ET,Sum,Flop Rate 
4096,int,Host,7.168e-06,204244,5.71429e+08
4096,int,Sequential,0.000147456,204244,2.77778e+07
4096,int,Atomic,3.584e-05,204244,1.14286e+08
4096,int,Segmented,1.7408e-05,204244,2.35294e+08
4096,int,Coalescing,1.536e-05,204244,2.66667e+08
4096,int,Shared Memory,1.1264e-05,204244,3.63636e+08
4096,int,Coarsened,1.2288e-05,204244,3.33333e+08
4096,int,CUB,5.12e-05,204244,8e+07
4096,int,Thrust,0.000273504,204244,1.4976e+07
8192,int,Host,1.1264e-05,406015,7.27273e+08
8192,int,Sequential,0.000185344,406015,4.41989e+07
8192,int,Atomic,6.144e-06,812030,1.33333e+09
8192,int,Segmented,1.1264e-05,1218045,7.27273e+08
8192,int,Coalescing,9.216e-06,1624060,8.88889e+08
8192,int,Shared Memory,8.192e-06,2030075,1e+09
8192,int,Coarsened,8.192e-06,2436090,1e+09
8192,int,CUB,1.4336e-05,406015,5.71429e+08
8192,int,Thrust,5.9648e-05,406015,1.37339e+08
16384,int,Host,2.2176e-05,813367,7.38817e+08
16384,int,Sequential,0.000357376,813367,4.58453e+07
16384,int,Atomic,6.144e-06,1626734,2.66667e+09
16384,int,Segmented,1.2288e-05,2440101,1.33333e+09
16384,int,Coalescing,8.192e-06,3253468,2e+09
16384,int,Shared Memory,7.168e-06,4066835,2.28571e+09
16384,int,Coarsened,8.192e-06,4880202,2e+09
16384,int,CUB,1.024e-05,813367,1.6e+09
16384,int,Thrust,5.68e-05,813367,2.88451e+08
32768,int,Host,4.2592e-05,1619578,7.69346e+08
32768,int,Sequential,0.000716416,1619578,4.57388e+07
32768,int,Atomic,1.2736e-05,3239156,2.57286e+09
32768,int,Segmented,1.6224e-05,4858734,2.01972e+09
32768,int,Coalescing,1.2832e-05,6478312,2.55362e+09
32768,int,Shared Memory,1.3472e-05,8097890,2.4323e+09
32768,int,Coarsened,1.3952e-05,9717468,2.34862e+09
32768,int,CUB,1.2576e-05,1619578,2.6056e+09
32768,int,Thrust,6.3072e-05,1619578,5.19533e+08
65536,int,Host,8.448e-05,3238678,7.75758e+08
65536,int,Sequential,0.00141171,3238678,4.64231e+07
65536,int,Atomic,1.0176e-05,6477356,6.44025e+09
65536,int,Segmented,1.3504e-05,9716034,4.85308e+09
65536,int,Coalescing,9.696e-06,12954712,6.75908e+09
65536,int,Shared Memory,1.664e-05,16193390,3.93846e+09
65536,int,Coarsened,9.856e-06,19432068,6.64935e+09
65536,int,CUB,1.84e-05,3238678,3.56174e+09
65536,int,Thrust,7.1456e-05,3238678,9.17152e+08
